customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
34341032-b268-4b2d-8c35-b1394cb78693,Female,1,Yes,Yes,0,No,No,Fiber optic,No,No,Yes,No,No internet service,Yes,Month-to-month,No,Electronic check,26.96,5124.05,Yes
2eec783b-33d3-4234-9235-007f2de76186,Male,0,Yes,Yes,26,No,No phone service,Fiber optic,No internet service,Yes,Yes,Yes,No,No,Two year,No,Bank transfer (automatic),32.14,6820.26,Yes
fe0eebaf-1b57-4993-bb4e-8ef803a9d958,Female,0,No,No,32,Yes,No phone service,Fiber optic,No,No internet service,No internet service,No,No,Yes,Month-to-month,Yes,Credit card (automatic),97.46,4399.22,Yes
082a2140-6a95-442c-9aea-717ce0aa07b2,Female,0,Yes,Yes,47,Yes,No phone service,No,Yes,No,Yes,Yes,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),68.91,5594.67,Yes
75572a7f-f05f-4edf-b994-77c25bd19125,Female,1,No,Yes,51,Yes,No phone service,Fiber optic,No internet service,No internet service,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),39.98,4848.31,Yes
df4ec912-cf66-49cf-97ad-ad81eb49ca6f,Female,0,Yes,No,20,Yes,No phone service,No,Yes,No internet service,No,Yes,No,No internet service,Two year,No,Electronic check,103.69,5894.32,No
5ef64fa5-c49a-4a70-9f05-6f294f078723,Male,0,No,Yes,60,No,No phone service,Fiber optic,Yes,No internet service,Yes,No internet service,Yes,No,Two year,Yes,Credit card (automatic),32.9,3191.96,Yes
6fbeff37-1f05-4632-8598-e9eab9205870,Male,0,No,Yes,68,Yes,Yes,DSL,No,No internet service,Yes,No,Yes,No internet service,Month-to-month,Yes,Electronic check,86.7,8544.69,Yes
6541afff-2f03-4dfc-a891-a8ae85a1edf2,Female,0,Yes,Yes,28,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,No internet service,No internet service,Yes,Month-to-month,Yes,Mailed check,95.42,7740.59,No
66d795ff-9f73-4fdf-9733-0ac9ed20ffd6,Female,1,Yes,Yes,18,Yes,No phone service,DSL,No internet service,Yes,No,Yes,No,Yes,Two year,Yes,Electronic check,99.41,6309.34,Yes
4655a99b-d59f-4c5e-883a-22c0d0d45f68,Female,0,Yes,No,6,No,No,No,No,Yes,No,Yes,No,No,One year,Yes,Mailed check,94.95,7338.06,No
1d0c2e63-4674-4f89-aa11-f83a85868582,Male,0,Yes,Yes,27,Yes,Yes,Fiber optic,No,No internet service,No internet service,No,No,Yes,Month-to-month,No,Credit card (automatic),97.07,6583.02,Yes
ff6de680-5bdc-4412-8774-5597f6708745,Male,1,Yes,No,4,No,No phone service,DSL,No internet service,No,No internet service,No,No internet service,No,Two year,No,Bank transfer (automatic),82.16,4040.03,Yes
a77d8219-97a6-4cab-97f8-542b2c0f228b,Female,0,Yes,Yes,59,No,No phone service,DSL,No,No internet service,No,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),64.95,4052.86,No
c240ffbe-ba17-47a6-bf18-09aa76d3ef1c,Female,0,Yes,Yes,14,Yes,No,No,No internet service,Yes,Yes,No internet service,Yes,No internet service,Two year,Yes,Electronic check,57.75,5318.77,No
849e9a65-f1e3-46d9-95dc-f2cf215acc51,Female,0,No,Yes,57,Yes,No,Fiber optic,No internet service,Yes,No,Yes,No,Yes,Two year,Yes,Credit card (automatic),119.05,2715.21,Yes
b6b2622b-70ab-43ff-820f-a0d8246e1f82,Male,0,No,Yes,42,No,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),23.77,633.2,Yes
96aef444-4faf-4a4d-bd08-385ca2c99630,Male,0,Yes,No,53,No,No,DSL,No,No internet service,No,No internet service,Yes,Yes,One year,Yes,Electronic check,117.93,2282.68,No
a13b38ec-acb1-4edc-a8aa-6c3ac8bbb58b,Male,1,Yes,No,30,No,No phone service,Fiber optic,Yes,No internet service,No,No internet service,Yes,No internet service,Month-to-month,No,Credit card (automatic),50.32,1794.49,Yes
ff22a304-dba1-47d9-93ab-a9bc4c88b3b6,Male,1,No,Yes,0,Yes,No phone service,No,No,No,No,Yes,Yes,No internet service,Month-to-month,No,Credit card (automatic),37.11,6929.41,No
382b0d3d-e857-41cf-9045-8b8b7a9f7bcb,Female,0,Yes,No,3,No,Yes,DSL,Yes,Yes,No internet service,No,Yes,No,One year,Yes,Credit card (automatic),82.68,6119.04,Yes
e803533c-ca6b-4d9a-9e54-dae15395073c,Female,1,Yes,No,32,No,No phone service,DSL,No internet service,No internet service,No,Yes,Yes,No,Month-to-month,No,Mailed check,24.57,6598.6,Yes
fc9da998-2cea-476e-bb5b-028125aff2a9,Male,0,No,Yes,53,No,No,DSL,No internet service,Yes,No internet service,Yes,No internet service,No internet service,One year,No,Credit card (automatic),61.22,6269.86,Yes
